voltage_V,electric_field_V_per_m,energy_density_J_per_m3,F_electrostatic_N,F_EHD_air_N,F_residual_chi_0_N,F_total_air_chi_0_N,F_residual_chi_1e-06_N,F_total_air_chi_1e-06_N,F_residual_chi_1e-05_N,F_total_air_chi_1e-05_N,F_residual_chi_0.0001_N,F_total_air_chi_0.0001_N
7927.157190635451,396357.85953177256,0.6954944732847724,3.477472366423862e-05,0.00012567964225008668,0.0,0.0001604543659143253,1.738736183211931e-09,0.0001604561046505085,1.7387361832119312e-08,0.0001604717532761574,1.7387361832119312e-07,0.0001606282395326465
8027.488294314381,401374.41471571906,0.7132111186229592,3.566055593114796e-05,0.00012888113663070882,0.0,0.00016454169256185678,1.7830277965573979e-09,0.00016454347558965334,1.783027796557398e-08,0.00016455952283982235,1.783027796557398e-07,0.00016471999534151252
8127.819397993311,406390.96989966556,0.7311505869103545,3.6557529345517725e-05,0.0001321228963327927,0.0,0.0001686804256783104,1.827876467275886e-09,0.00016868225355477767,1.8278764672758862e-08,0.00016869870444298317,1.8278764672758862e-07,0.000168863213325038
8228.15050167224,411407.525083612,0.7493128781469585,3.746564390734792e-05,0.00013540492135633828,0.0,0.0001728705652636862,1.8732821953673963e-09,0.00017287243854588157,1.8732821953673964e-08,0.00017288929808563988,1.8732821953673963e-07,0.00017305789348322293
8328.481605351171,416424.0802675586,0.7676979923327716,3.838489961663858e-05,0.00013872721170134564,0.0,0.00017711211131798423,1.919244980831929e-09,0.00017711403056296505,1.919244980831929e-08,0.00017713130376779254,1.919244980831929e-07,0.00017730403581606743
8428.8127090301,421440.635451505,0.7863059294677931,3.9315296473389653e-05,0.0001420897673678147,0.0,0.00018140506384120434,1.9657648236694824e-09,0.00018140702960602802,1.9657648236694827e-08,0.00018142472148944104,1.9657648236694825e-07,0.00018160164032357128
8529.14381270903,426457.19063545146,0.8051366895520233,4.025683447760117e-05,0.00014549258835574544,0.0,0.0001857494228333466,2.0128417238800582e-09,0.0001857514356750705,2.0128417238800585e-08,0.0001857695512505854,2.0128417238800584e-07,0.0001859507070057346
8629.47491638796,431473.745819398,0.8241902725854627,4.120951362927314e-05,0.00014893567466513802,0.0,0.00019014518829441117,2.0604756814636565e-09,0.00019014724877009263,2.060475681463657e-08,0.0001901657930512258,2.060475681463657e-07,0.00019035123586255752
8729.80602006689,436490.3010033445,0.8434666785681106,4.217333392840553e-05,0.00015241902629599223,0.0,0.00019459236022439775,2.1086666964202767e-09,0.00019459446889109417,2.108666696420277e-08,0.00019461344689136194,2.108666696420277e-07,0.00019480322689403978
8830.137123745819,441506.8561872909,0.8629659074999672,4.314829537499835e-05,0.00015594264324830814,0.0,0.00019909093862330649,2.1574147687499178e-09,0.00019909309603807524,2.1574147687499178e-08,0.00019911251277099397,2.157414768749918e-07,0.00019930668010018147
8930.46822742475,446523.4113712375,0.8826879593810328,4.413439796905164e-05,0.0001595065255220859,0.0,0.00020364092349113756,2.206719898452582e-09,0.000203643130211036,2.2067198984525822e-08,0.00020366299069012208,2.2067198984525822e-07,0.0002038615954809828
9030.799331103679,451539.9665551839,0.9026328342113069,4.513164171056535e-05,0.0001631106731173253,0.0,0.00020824231482789065,2.256582085528267e-09,0.00020824457140997617,2.2565820855282675e-08,0.00020826488064874593,2.2565820855282673e-07,0.0002084679730364435
9131.130434782608,456556.5217391304,0.9228005319907897,4.614002659953949e-05,0.00016675508603402643,0.0,0.0002128951126335659,2.3070013299769745e-09,0.0002128974196348959,2.3070013299769746e-08,0.0002129181826468657,2.3070013299769745e-07,0.00021312581276656362
9231.461538461539,461573.07692307694,0.9431910527194819,4.7159552635974085e-05,0.00017043976427218938,0.0,0.00021759931690816346,2.357977631798705e-09,0.00021760167488579527,2.357977631798705e-08,0.00021762289668448144,2.3579776317987048e-07,0.00021783511467134332
9331.792642140468,466589.6321070234,0.9638043963973822,4.8190219819869106e-05,0.00017416470783181395,0.0,0.00022235492765168305,2.4095109909934554e-09,0.00022235733716267404,2.4095109909934557e-08,0.000222379022761593,2.4095109909934554e-07,0.0002225958787507824
9432.123745819397,471606.1872909698,0.9846405630244913,4.923202815122456e-05,0.0001779299167129003,0.0,0.00022716194486412485,2.4616014075612285e-09,0.00022716440646553242,2.4616014075612287e-08,0.00022718656087820045,2.4616014075612287e-07,0.00022740810500488097
9532.454849498328,476622.7424749164,1.0056995526008097,5.028497763004048e-05,0.0001817353909154484,0.0,0.00023202036854548888,2.5142488815020244e-09,0.00023202288279437037,2.5142488815020245e-08,0.0002320455110343039,2.5142488815020245e-07,0.0002322717934336391
9632.785953177257,481639.29765886284,1.0269813651263364,5.134906825631682e-05,0.00018558113043945816,0.0,0.00023693019869577497,2.567453412815841e-09,0.0002369327661491878,2.5674534128158415e-08,0.00023695587322990314,2.5674534128158415e-07,0.00023718694403705655
